timestamp,id,rating,price,reviewsCount,beds,bathrooms,bedrooms,isSuperhost
"2023-08-08_15-30","789695697557271156",,374,2,2,2,2,false
"2023-08-08_15-30","593271107049526753",,72,2,1,1,1,false
"2023-08-08_15-30","900722207959994655",,202,0,2,1,2,false
"2023-08-08_15-30","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-08_15-30","670259093980803412",3,103,3,2,1,1,false
"2023-08-08_15-30","35800034",5,162,5,0,2,1,false
"2023-08-08_15-30","16379921",4.55,224,22,4,2,2,false
"2023-08-08_15-30","911513348279190365",,362,0,3,3.5,3,false
"2023-08-08_15-30","720661266843033969",,129,0,8,1,3,false
"2023-08-08_15-30","49289146",4.66,127,35,1,1,1,false
"2023-08-08_15-30","4975295",4.82,1069,165,5,1,3,true
"2023-08-08_15-30","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-08_15-30","700436264175104429",,124,2,1,1,1,false
"2023-08-08_15-30","1135017",4.82,1532,244,5,1,2,true
"2023-08-08_15-30","52928658",,101,1,1,1,1,false
"2023-08-08_15-30","738223953699753093",,496,2,8,4.5,5,false
"2023-08-08_15-30","45283136",,405,2,11,3,4,false
"2023-08-08_15-30","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-08_15-30","362397",,108,2,2,1.5,1,false
"2023-08-08_15-30","681106077934707988",,82,1,1,1,1,false
"2023-08-08_15-30","50580290",4.41,316,17,1,1,1,false
"2023-08-08_15-30","360703",,106,1,1,1,1,false
"2023-08-08_15-30","932440401477692504",,232,0,5,2,4,false
"2023-08-08_15-30","691080858048733845",4.67,177,3,2,1,1,false
"2023-08-08_15-30","824275397791228912",,491,2,4,1,3,false
"2023-08-08_15-30","2525482",,217,0,1,1,1,false
"2023-08-08_15-30","9274563",,71,0,1,1,1,false
"2023-08-08_15-30","846195481314256512",,257,0,2,1,1,false
"2023-08-08_19-01","38779697",5,140,17,3,1,1,true
"2023-08-08_19-01","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-08_19-01","679491137006544063",,158,1,1,1,1,false
"2023-08-08_19-01","751917427436717495",,113,1,1,1,1,false
"2023-08-08_19-01","29330456",4.23,147,13,1,1,1,true
"2023-08-08_19-01","737095469217662657",4.5,54,12,1,1,1,false
"2023-08-08_19-01","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-08_19-01","952800285673980502",,116,0,2,15.5,29,false
"2023-08-08_19-01","9171600",4.68,49,50,2,1,1,false
"2023-08-08_19-01","563837832132081096",4.97,544,38,2,2.5,3,true
"2023-08-08_19-01","789695697557271156",,374,2,2,2,2,false
"2023-08-08_19-01","593271107049526753",,72,2,1,1,1,false
"2023-08-08_19-01","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-08_19-01","900722207959994655",,202,0,2,1,2,false
"2023-08-08_19-01","670259093980803412",3,103,3,2,1,1,false
"2023-08-08_19-01","35800034",5,162,5,0,2,1,false
"2023-08-08_19-01","911513348279190365",,362,0,3,3.5,3,false
"2023-08-08_19-01","720661266843033969",,129,0,8,1,3,false
"2023-08-08_19-01","4975295",4.82,1069,165,5,1,3,true
"2023-08-08_19-01","49289146",4.66,127,35,1,1,1,false
"2023-08-08_19-01","700436264175104429",,124,2,1,1,1,false
"2023-08-08_19-01","952786063202712722",,137,0,2,1,29,false
"2023-08-08_19-01","952797332426828573",,137,0,2,1,29,false
"2023-08-08_19-01","952795138664101130",,137,0,2,1,29,false
"2023-08-08_19-01","952778170293455773",,137,0,2,1,29,false
"2023-08-08_19-01","952780143187517418",,137,0,2,1,29,false
"2023-08-08_19-01","952226093011883507",,137,0,2,1,29,false
"2023-08-08_19-01","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-08_19-01","1135017",4.82,1532,244,5,1,2,true
"2023-08-08_19-01","52928658",,101,1,1,1,1,false
"2023-08-08_19-01","738223953699753093",,496,2,8,4.5,5,false
"2023-08-08_19-01","45283136",,405,2,11,3,4,false
"2023-08-08_19-01","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-08_19-01","362397",,108,2,2,1.5,1,false
"2023-08-08_19-01","681106077934707988",,82,1,1,1,1,false
"2023-08-08_19-01","50580290",4.41,316,17,1,1,1,false
"2023-08-08_19-01","360703",,106,1,1,1,1,false
"2023-08-08_19-01","932440401477692504",,232,0,5,2,4,false
"2023-08-08_19-01","2525482",,217,0,1,1,1,false
"2023-08-08_19-01","9274563",,71,0,1,1,1,false
"2023-08-08_19-30","38779697",5,140,17,3,1,1,true
"2023-08-08_19-30","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-08_19-30","679491137006544063",,158,1,1,1,1,false
"2023-08-08_19-30","751917427436717495",,113,1,1,1,1,false
"2023-08-08_19-30","29330456",4.23,147,13,1,1,1,true
"2023-08-08_19-30","737095469217662657",4.5,54,12,1,1,1,false
"2023-08-08_19-30","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-08_19-30","952800285673980502",,116,0,2,15.5,29,false
"2023-08-08_19-30","9171600",4.68,49,50,2,1,1,false
"2023-08-08_19-30","563837832132081096",4.97,544,38,2,2.5,3,true
"2023-08-08_19-30","789695697557271156",,374,2,2,2,2,false
"2023-08-08_19-30","593271107049526753",,72,2,1,1,1,false
"2023-08-08_19-30","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-08_19-30","900722207959994655",,202,0,2,1,2,false
"2023-08-08_19-30","670259093980803412",3,103,3,2,1,1,false
"2023-08-08_19-30","35800034",5,162,5,0,2,1,false
"2023-08-08_19-30","911513348279190365",,362,0,3,3.5,3,false
"2023-08-08_19-30","720661266843033969",,129,0,8,1,3,false
"2023-08-08_19-30","4975295",4.82,1069,165,5,1,3,true
"2023-08-08_19-30","49289146",4.66,127,35,1,1,1,false
"2023-08-08_19-30","700436264175104429",,124,2,1,1,1,false
"2023-08-08_19-30","952786063202712722",,137,0,2,1,29,false
"2023-08-08_19-30","952797332426828573",,137,0,2,1,29,false
"2023-08-08_19-30","952795138664101130",,137,0,2,1,29,false
"2023-08-08_19-30","952778170293455773",,137,0,2,1,29,false
"2023-08-08_19-30","952780143187517418",,137,0,2,1,29,false
"2023-08-08_19-30","952226093011883507",,137,0,2,1,29,false
"2023-08-08_19-30","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-08_19-30","1135017",4.82,1532,244,5,1,2,true
"2023-08-08_19-30","52928658",,101,1,1,1,1,false
"2023-08-08_19-30","738223953699753093",,496,2,8,4.5,5,false
"2023-08-08_19-30","45283136",,405,2,11,3,4,false
"2023-08-08_19-30","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-08_19-30","362397",,108,2,2,1.5,1,false
"2023-08-08_19-30","681106077934707988",,82,1,1,1,1,false
"2023-08-08_19-30","50580290",4.41,316,17,1,1,1,false
"2023-08-08_19-30","360703",,106,1,1,1,1,false
"2023-08-08_19-30","932440401477692504",,232,0,5,2,4,false
"2023-08-08_19-30","2525482",,217,0,1,1,1,false
"2023-08-08_19-30","9274563",,71,0,1,1,1,false
"2023-08-09_01-06","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-09_01-06","38779697",5,141,17,3,1,1,true
"2023-08-09_01-06","679491137006544063",,159,1,1,1,1,false
"2023-08-09_01-06","751917427436717495",,115,1,1,1,1,false
"2023-08-09_01-06","816527025290098455",,59,1,1,1.5,1,false
"2023-08-09_01-06","29330456",4.23,148,13,1,1,1,true
"2023-08-09_01-06","779638221379881720",,69,2,1,6.5,1,false
"2023-08-09_01-06","751916605731914160",,120,1,1,1,1,false
"2023-08-09_01-06","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-09_01-06","948450208754375109",,88,0,2,1,2,false
"2023-08-09_01-06","751917107410265445",,126,1,1,1,1,false
"2023-08-09_01-06","9171600",4.68,49,50,2,1,1,false
"2023-08-09_01-06","952797332426828573",,137,0,2,1,29,false
"2023-08-09_01-06","844257057190861876",,191,0,2,2,2,false
"2023-08-09_01-06","563837832132081096",4.97,550,38,2,2.5,3,true
"2023-08-09_01-06","808861762004756677",5,78,4,1,1.5,1,false
"2023-08-09_01-06","812727441493016863",,65,2,1,1,1,false
"2023-08-09_01-06","918521180703335585",,169,0,4,1,2,false
"2023-08-09_01-06","789695697557271156",,374,2,2,2,2,false
"2023-08-09_01-06","926844732142978860",,61,1,1,2,1,true
"2023-08-09_01-06","900722207959994655",,203,0,2,1,2,false
"2023-08-09_01-06","779643904098287811",4.67,73,3,2,6.5,1,false
"2023-08-09_01-06","952795138664101130",,137,0,2,1,29,false
"2023-08-09_01-06","952780143187517418",,137,0,2,1,29,false
"2023-08-09_01-06","952778170293455773",,137,0,2,1,29,false
"2023-08-09_01-06","952226093011883507",,137,0,2,1,29,false
"2023-08-09_01-06","819476747400352363",,78,2,1,1.5,1,false
"2023-08-09_01-06","593271107049526753",,72,2,1,1,1,false
"2023-08-09_01-06","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-09_01-06","35800034",5,162,5,0,2,1,false
"2023-08-09_01-06","911513348279190365",,363,0,3,3.5,3,false
"2023-08-09_01-06","816770243891528378",,87,1,1,1,1,false
"2023-08-09_01-06","16379921",4.55,226,22,4,2,2,false
"2023-08-09_01-06","49289146",4.66,127,35,1,1,1,false
"2023-08-09_01-06","720661266843033969",,130,0,8,1,3,false
"2023-08-09_01-06","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-09_01-06","700436264175104429",,125,2,1,1,1,false
"2023-08-09_01-06","939615450066866878",,99,0,4,1,1,false
"2023-08-09_01-06","52928658",,102,1,1,1,1,false
"2023-08-09_01-06","859402260545173527",,52,0,1,1,1,false
"2023-08-09_12-00","38779697",5,141,17,3,1,1,true
"2023-08-09_12-00","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-09_12-00","679491137006544063",,159,1,1,1,1,false
"2023-08-09_12-00","751917427436717495",,113,1,1,1,1,false
"2023-08-09_12-00","29330456",4.23,148,13,1,1,1,true
"2023-08-09_12-00","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-09_12-00","952797332426828573",,137,0,2,1,29,false
"2023-08-09_12-00","952226093011883507",,137,0,2,1,29,false
"2023-08-09_12-00","751917107410265445",,123,1,1,1,1,false
"2023-08-09_12-00","9171600",4.68,49,50,2,1,1,false
"2023-08-09_12-00","563837832132081096",4.97,550,38,2,2.5,3,true
"2023-08-09_12-00","789695697557271156",,374,2,2,2,2,false
"2023-08-09_12-00","918521180703335585",,169,0,4,1,2,false
"2023-08-09_12-00","593271107049526753",,72,2,1,1,1,false
"2023-08-09_12-00","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-09_12-00","900722207959994655",,203,0,2,1,2,false
"2023-08-09_12-00","35800034",5,162,5,0,2,1,false
"2023-08-09_12-00","670259093980803412",3,104,3,2,1,1,false
"2023-08-09_12-00","16379921",4.55,226,22,4,2,2,false
"2023-08-09_12-00","911513348279190365",,363,0,3,3.5,3,false
"2023-08-09_12-00","720661266843033969",,130,0,8,1,3,false
"2023-08-09_12-00","952778170293455773",,137,0,2,1,29,false
"2023-08-09_12-00","952795138664101130",,137,0,2,1,29,false
"2023-08-09_12-00","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-09_12-00","4975295",4.82,1071,165,5,1,3,true
"2023-08-09_12-00","49289146",4.66,127,35,1,1,1,false
"2023-08-09_12-00","700436264175104429",,125,2,1,1,1,false
"2023-08-09_12-00","1135017",4.82,1533,244,5,1,2,true
"2023-08-09_12-00","52928658",,102,1,1,1,1,false
"2023-08-09_12-00","738223953699753093",,498,2,8,4.5,5,false
"2023-08-09_12-00","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-09_12-00","362397",,108,2,2,1.5,1,false
"2023-08-09_12-00","681106077934707988",,82,1,1,1,1,false
"2023-08-09_12-00","360703",,106,1,1,1,1,false
"2023-08-09_12-00","824275397791228912",,491,2,4,1,3,false
"2023-08-09_12-00","691080858048733845",4.67,177,3,2,1,1,false
"2023-08-09_12-00","932440401477692504",,232,0,5,2,4,false
"2023-08-09_12-00","2525482",,217,0,1,1,1,false
"2023-08-09_12-00","9274563",,71,0,1,1,1,false
"2023-08-09_12-00","846195481314256512",,257,0,2,1,1,false
"2023-08-09_15-28","38779697",5,141,17,3,1,1,true
"2023-08-09_15-28","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-09_15-28","679491137006544063",,161,1,1,1,1,false
"2023-08-09_15-28","751917427436717495",,113,1,1,1,1,false
"2023-08-09_15-28","29330456",4.23,148,13,1,1,1,true
"2023-08-09_15-28","952797332426828573",,117,0,2,1,29,false
"2023-08-09_15-28","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-09_15-28","952226093011883507",,117,0,2,1,29,false
"2023-08-09_15-28","563837832132081096",4.97,550,38,2,2.5,3,true
"2023-08-09_15-28","918521180703335585",,169,0,4,1,2,false
"2023-08-09_15-28","789695697557271156",,374,2,2,2,2,false
"2023-08-09_15-28","593271107049526753",,72,2,1,1,1,false
"2023-08-09_15-28","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-09_15-28","900722207959994655",,203,0,2,1,2,false
"2023-08-09_15-28","670259093980803412",3,104,3,2,1,1,false
"2023-08-09_15-28","35800034",5,162,5,0,2,1,false
"2023-08-09_15-28","16379921",4.55,226,22,4,2,2,false
"2023-08-09_15-28","911513348279190365",,363,0,3,3.5,3,false
"2023-08-09_15-28","720661266843033969",,130,0,8,1,3,false
"2023-08-09_15-28","49289146",4.66,127,35,1,1,1,false
"2023-08-09_15-28","4975295",4.82,1071,165,5,1,3,true
"2023-08-09_15-28","952778170293455773",,117,0,2,1,29,false
"2023-08-09_15-28","952795138664101130",,117,0,2,1,29,false
"2023-08-09_15-28","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-09_15-28","700436264175104429",,125,2,1,1,1,false
"2023-08-09_15-28","1135017",4.82,1533,244,5,1,2,true
"2023-08-09_15-28","52928658",,102,1,1,1,1,false
"2023-08-09_15-28","738223953699753093",,498,2,8,4.5,5,false
"2023-08-09_15-28","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-09_15-28","362397",,108,2,2,1.5,1,false
"2023-08-09_15-28","681106077934707988",,82,1,1,1,1,false
"2023-08-09_15-28","360703",,106,1,1,1,1,false
"2023-08-09_15-28","691080858048733845",4.67,177,3,2,1,1,false
"2023-08-09_15-28","824275397791228912",,491,2,4,1,3,false
"2023-08-09_15-28","932440401477692504",,232,0,5,2,4,false
"2023-08-09_15-28","2525482",,217,0,1,1,1,false
"2023-08-09_15-28","9274563",,71,0,1,1,1,false
"2023-08-09_15-28","846195481314256512",,257,0,2,1,1,false
"2023-08-09_15-28","795399737387937630",,137,0,1,1,1,false
"2023-08-09_15-28","693477363154191495",,363,0,1,1,1,false
"2023-08-09_19-57","38779697",5,141,17,3,1,1,true
"2023-08-09_19-57","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-09_19-57","751917427436717495",,112,1,1,1,1,false
"2023-08-09_19-57","679491137006544063",,161,1,1,1,1,false
"2023-08-09_19-57","29330456",4.23,148,13,1,1,1,true
"2023-08-09_19-57","952797332426828573",,117,0,2,1,29,false
"2023-08-09_19-57","909134200886352310",4.78,79,9,1,0.5,1,false
"2023-08-09_19-57","952226093011883507",,117,0,2,1,29,false
"2023-08-09_19-57","563837832132081096",4.97,550,38,2,2.5,3,true
"2023-08-09_19-57","953608158051410144",,82,0,1,1,1,false
"2023-08-09_19-57","918521180703335585",,169,0,4,1,2,false
"2023-08-09_19-57","593271107049526753",,72,2,1,1,1,false
"2023-08-09_19-57","789695697557271156",,374,2,2,2,2,false
"2023-08-09_19-57","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-09_19-57","900722207959994655",,203,0,2,1,2,false
"2023-08-09_19-57","670259093980803412",3,104,3,2,1,1,false
"2023-08-09_19-57","35800034",5,162,5,0,2,1,false
